symbol,lookback_period,training_samples,test_samples,model_accuracy,strategy_return,buy_hold_return,relative_performance,strategy_volatility,buy_hold_volatility,positions_taken,total_positions,model_params,stock_id,prediction_id
AAPL,5,1002,251,0.4302788844621514,-0.1238364695873202,-0.2640418603558612,0.140205390768541,0.3106145674935155,0.3562525971759051,199,251,"{""layers"": 5, ""total_params"": 737, ""input_shape"": 5}",1,31
MSFT,5,1002,251,0.4701195219123506,-0.26547340902701166,-0.2802475915777982,0.014774182550786552,0.3281681880408309,0.3524289889267745,207,251,"{""layers"": 5, ""total_params"": 737, ""input_shape"": 5}",2,32
GOOGL,5,1002,251,0.46613545816733065,-0.3801921256710765,-0.3908955837486564,0.010703458077579886,0.34792819294440086,0.3857352822016444,203,251,"{""layers"": 5, ""total_params"": 737, ""input_shape"": 5}",3,33
AMZN,5,1002,251,0.50199203187251,-0.2617903428964843,-0.4961521476592684,0.23436180476278412,0.45131930015074695,0.49977468691332005,193,251,"{""layers"": 5, ""total_params"": 737, ""input_shape"": 5}",4,34
TSLA,5,1002,251,0.5059760956175299,-0.30425360159212533,-0.6503151169866451,0.3460615153945198,0.559642323560554,0.6654287870240039,182,251,"{""layers"": 5, ""total_params"": 737, ""input_shape"": 5}",5,35
META,5,1002,251,0.4940239043824701,-0.1668671651329675,-0.6422179399668926,0.47535077483392507,0.4643581753824432,0.6412926811129555,195,251,"{""layers"": 5, ""total_params"": 737, ""input_shape"": 5}",6,36
NVDA,5,1002,251,0.4860557768924303,-0.27628747700158107,-0.5026464700294243,0.22635899302784324,0.5412894854762681,0.6309156945279614,183,251,"{""layers"": 5, ""total_params"": 737, ""input_shape"": 5}",7,37
JPM,5,1002,251,0.49800796812749004,-0.1985979709785176,-0.12641228493502277,-0.07218568604349485,0.22165150853731816,0.2981293648387668,139,251,"{""layers"": 5, ""total_params"": 737, ""input_shape"": 5}",8,38
JNJ,5,1002,251,0.47808764940239046,0.03153511630121275,0.05974840949793303,-0.02821329319672028,0.1519497073039234,0.17372538901893683,186,251,"{""layers"": 5, ""total_params"": 737, ""input_shape"": 5}",9,39
V,5,1002,251,0.50199203187251,-0.03475665925442606,-0.03404745508081164,-0.0007092041736144195,0.27837867434350994,0.30898469831329234,201,251,"{""layers"": 5, ""total_params"": 737, ""input_shape"": 5}",10,40
